Decimal,Fraction,Pitch,Series,Class,FractionCallout,DecimalCallout,Allowance,MajorMax,MajorMin,MajorMinE,PitchMax,PitchMin,MinorMax,MinorMin
3.875,3 7/8,16,UN,3A,3 7/8-16 UN 3A,3.875-16 UN 3A,0,3.8750,3.8656,-,3.8344,3.8300,3.8005,-
3.875,3 7/8,16,UN,3B,3 7/8-16 UN 3B,3.875-16 UN 3B,-,-,3.8750,-,3.8401,3.8344,3.8158,3.8070
4.000,4,4,UNC,1A,4-4 UNC 1A,4.000-4 UNC 1A,0.0034,3.9966,3.9609,-,3.8342,3.8172,3.6989,-
4.000,4,4,UNC,1B,4-4 UNC 1B,4.000-4 UNC 1B,-,-,4.0000,-,3.8597,3.8376,3.7670,3.7290
4.000,4,4,UNC,2A,4-4 UNC 2A,4.000-4 UNC 2A,0.0034,3.9966,3.9728,3.9609,3.8342,3.8229,3.6989,-
4.000,4,4,UNC,2B,4-4 UNC 2B,4.000-4 UNC 2B,-,-,4.0000,-,3.8523,3.8376,3.7670,3.7290
4.000,4,4,UNC,3A,4-4 UNC 3A,4.000-4 UNC 3A,0,4.0000,3.9762,-,3.8376,3.8291,3.7023,-
4.000,4,4,UNC,3B,4-4 UNC 3B,4.000-4 UNC 3B,-,-,4.0000,-,3.8487,3.8376,3.7594,3.7290
4.000,4,6,UN,2A,4-6 UN 2A,4.000-6 UN 2A,0.003,3.9970,3.9788,-,3.8887,3.8788,3.7986,-
4.000,4,6,UN,2B,4-6 UN 2B,4.000-6 UN 2B,-,-,4.0000,-,3.9046,3.8917,3.8500,3.8200
4.000,4,6,UN,3A,4-6 UN 3A,4.000-6 UN 3A,0,4.0000,3.9818,-,3.8917,3.8843,3.8016,-
4.000,4,6,UN,3B,4-6 UN 3B,4.000-6 UN 3B,-,-,4.0000,-,3.9014,3.8917,3.8396,3.8200
4.000,4,8,UN,2A,4-8 UN 2A,4.000-8 UN 2A,0.0027,3.9973,3.9823,3.9748,3.9161,3.9070,3.8485,-
4.000,4,8,UN,2B,4-8 UN 2B,4.000-8 UN 2B,-,-,4.0000,-,3.9307,3.9188,3.8900,3.8650
4.000,4,8,UN,3A,4-8 UN 3A,4.000-8 UN 3A,0,4.0000,3.9850,-,3.9188,3.9120,3.8512,-
4.000,4,8,UN,3B,4-8 UN 3B,4.000-8 UN 3B,-,-,4.0000,-,3.9277,3.9188,3.8797,3.8650
4.000,4,10,UNS,2A,4-10 UNS 2A,4.000-10 UNS 2A,0.0021,3.9979,3.9850,-,3.9329,3.9259,3.8768,-
4.000,4,10,UNS,2B,4-10 UNS 2B,4.000-10 UNS 2B,-,-,4.0000,-,3.9441,3.9350,3.9130,3.8920
4.000,4,12,UN,2A,4-12 UN 2A,4.000-12 UN 2A,0.002,3.9980,3.9866,-,3.9439,3.9374,3.8988,-
4.000,4,12,UN,2B,4-12 UN 2B,4.000-12 UN 2B,-,-,4.0000,-,3.9544,3.9459,3.9280,3.9100
4.000,4,12,UN,3A,4-12 UN 3A,4.000-12 UN 3A,0,4.0000,3.9886,-,3.9459,3.9410,3.9008,-
4.000,4,12,UN,3B,4-12 UN 3B,4.000-12 UN 3B,-,-,4.0000,-,3.9523,3.9459,3.9198,3.9100
4.000,4,14,UNS,2A,4-14 UNS 2A,4.000-14 UNS 2A,0.0018,3.9982,3.9879,-,3.9518,3.9456,3.9132,-
4.000,4,14,UNS,2B,4-14 UNS 2B,4.000-14 UNS 2B,-,-,4.0000,-,3.9616,3.9536,3.9380,3.9230
4.000,4,16,UN,2A,4-16 UN 2A,4.000-16 UN 2A,0.0018,3.9982,3.9888,-,3.9576,3.9517,3.9237,-
4.000,4,16,UN,2B,4-16 UN 2B,4.000-16 UN 2B,-,-,4.0000,-,3.9670,3.9594,3.9460,3.9320
4.000,4,16,UN,3A,4-16 UN 3A,4.000-16 UN 3A,0,4.0000,3.9906,-,3.9594,3.9550,3.9255,-
4.000,4,16,UN,3B,4-16 UN 3B,4.000-16 UN 3B,-,-,4.0000,-,3.9651,3.9594,3.9408,3.9320
4.250,4 1/4,10,UNS,2A,4 1/4-10 UNS 2A,4.250-10 UNS 2A,0.0021,4.2479,4.2350,-,4.1829,4.1759,4.1289,-
4.250,4 1/4,10,UNS,2B,4 1/4-10 UNS 2B,4.250-10 UNS 2B,-,-,4.2500,-,4.1941,4.1850,4.1630,4.1420
4.250,4 1/4,12,UN,2A,4 1/4-12 UN 2A,4.250-12 UN 2A,0.002,4.2480,4.2366,-,4.1939,4.1874,4.1488,-
4.250,4 1/4,12,UN,2B,4 1/4-12 UN 2B,4.250-12 UN 2B,-,-,4.2500,-,4.2044,4.1959,4.1780,4.1600
4.250,4 1/4,12,UN,3A,4 1/4-12 UN 3A,4.250-12 UN 3A,0,4.2500,4.2386,-,4.1959,4.1910,4.1508,-
4.250,4 1/4,12,UN,3B,4 1/4-12 UN 3B,4.250-12 UN 3B,-,-,4.2500,-,4.2023,4.1959,4.1698,4.1600
4.250,4 1/4,14,UNS,2A,4 1/4-14 UNS 2A,4.250-14 UNS 2A,0.0018,4.2482,4.2379,-,4.2018,4.1956,4.1632,-
4.250,4 1/4,14,UNS,2B,4 1/4-14 UNS 2B,4.250-14 UNS 2B,-,-,4.2500,-,4.2116,4.2036,4.1880,4.1730
4.250,4 1/4,16,UN,2A,4 1/4-16 UN 2A,4.250-16 UN 2A,0.0018,4.2482,4.2388,-,4.2076,4.2017,4.1737,-
4.250,4 1/4,16,UN,2B,4 1/4-16 UN 2B,4.250-16 UN 2B,-,-,4.2500,-,4.2170,4.2094,4.1960,4.1820
4.250,4 1/4,16,UN,3A,4 1/4-16 UN 3A,4.250-16 UN 3A,0,4.2500,4.2406,-,4.2094,4.2050,4.1755,-
4.250,4 1/4,16,UN,3B,4 1/4-16 UN 3B,4.250-16 UN 3B,-,-,4.2500,-,4.2151,4.2094,4.1900,4.1820
4.500,4 1/2,10,UNS,2A,4 1/2-10 UNS 2A,4.500-10 UNS 2A,0.0021,4.4979,4.4850,-,4.4329,4.4259,4.3789,-
4.500,4 1/2,10,UNS,2B,4 1/2-10 UNS 2B,4.500-10 UNS 2B,-,-,4.5000,-,4.4441,4.4350,4.4130,4.3920
4.500,4 1/2,12,UN,2A,4 1/2-12 UN 2A,4.500-12 UN 2A,0.002,4.4980,4.4866,-,4.4439,4.4374,4.3988,-
4.500,4 1/2,12,UN,2B,4 1/2-12 UN 2B,4.500-12 UN 2B,-,-,4.5000,-,4.4544,4.4459,4.4280,4.4100
4.500,4 1/2,12,UN,3A,4 1/2-12 UN 3A,4.500-12 UN 3A,0,4.5000,4.4886,-,4.4459,4.4410,4.4008,-
4.500,4 1/2,12,UN,3B,4 1/2-12 UN 3B,4.500-12 UN 3B,-,-,4.5000,-,4.4523,4.4459,4.4198,4.4100
4.500,4 1/2,14,UNS,2A,4 1/2-14 UNS 2A,4.500-14 UNS 2A,0.0018,4.4982,4.4879,-,4.4518,4.4456,4.4132,-
4.500,4 1/2,14,UNS,2B,4 1/2-14 UNS 2B,4.500-14 UNS 2B,-,-,4.5000,-,4.4616,4.4536,4.4380,4.4230
4.500,4 1/2,16,UN,2A,4 1/2-16 UN 2A,4.500-16 UN 2A,0.0018,4.4982,4.4888,-,4.4576,4.4517,4.4237,-
4.500,4 1/2,16,UN,2B,4 1/2-16 UN 2B,4.500-16 UN 2B,-,-,4.5000,-,4.4670,4.4594,4.4460,4.4320
4.500,4 1/2,16,UN,3A,4 1/2-16 UN 3A,4.500-16 UN 3A,0,4.5000,4.4906,-,4.4594,4.4550,4.4255,-
4.500,4 1/2,16,UN,3B,4 1/2-16 UN 3B,4.500-16 UN 3B,-,-,4.5000,-,4.4651,4.4594,4.4408,4.4320
4.750,4 3/4,10,UNS,2A,4 3/4-10 UNS 2A,4.750-10 UNS 2A,0.0022,4.7478,4.7349,-,4.6828,4.6756,4.6288,-
4.750,4 3/4,10,UNS,2B,4 3/4-10 UNS 2B,4.750-10 UNS 2B,-,-,4.7500,-,4.6944,4.6850,4.6630,4.6420
4.750,4 3/4,12,UN,2A,4 3/4-12 UN 2A,4.750-12 UN 2A,0.002,4.7480,4.7366,-,4.6939,4.6872,4.6488,-
4.750,4 3/4,12,UN,2B,4 3/4-12 UN 2B,4.750-12 UN 2B,-,-,4.7500,-,4.7046,4.6959,4.6780,4.6600
4.750,4 3/4,12,UN,3A,4 3/4-12 UN 3A,4.750-12 UN 3A,0,4.7500,4.7386,-,4.6959,4.6909,4.6508,-
4.750,4 3/4,12,UN,3B,4 3/4-12 UN 3B,4.750-12 UN 3B,-,-,4.7500,-,4.7025,4.6959,4.6698,4.6600
4.750,4 3/4,14,UNS,2A,4 3/4-14 UNS 2A,4.750-14 UNS 2A,0.0019,4.7481,4.7378,-,4.7017,4.6953,4.6631,-
4.750,4 3/4,14,UNS,2B,4 3/4-14 UNS 2B,4.750-14 UNS 2B,-,-,4.7500,-,4.7119,4.7036,4.6880,4.6730
4.750,4 3/4,16,UN,2A,4 3/4-16 UN 2A,4.750-16 UN 2A,0.0018,4.7482,4.7388,-,4.7076,4.7015,4.6737,-
4.750,4 3/4,16,UN,2B,4 3/4-16 UN 2B,4.750-16 UN 2B,-,-,4.7500,-,4.7173,4.7094,4.6960,4.6820
4.750,4 3/4,16,UN,3A,4 3/4-16 UN 3A,4.750-16 UN 3A,0,4.7500,4.7406,-,4.7094,4.7049,4.6755,-
4.750,4 3/4,16,UN,3B,4 3/4-16 UN 3B,4.750-16 UN 3B,-,-,4.7500,-,4.7153,4.7094,4.6908,4.6820
5.000,5,10,UNS,2A,5-10 UNS 2A,5.000-10 UNS 2A,0.0022,4.9978,4.9849,-,4.9328,4.9256,4.8788,-
5.000,5,10,UNS,2B,5-10 UNS 2B,5.000-10 UNS 2B,-,-,5.0000,-,4.9444,4.9350,4.9130,4.8920
5.000,5,12,UN,2A,5-12 UN 2A,5.000-12 UN 2A,0.002,4.9980,4.9866,-,4.9439,4.9372,4.8988,-
5.000,5,12,UN,2B,5-12 UN 2B,5.000-12 UN 2B,-,-,5.0000,-,4.9546,4.9459,4.9280,4.9100
5.000,5,12,UN,3A,5-12 UN 3A,5.000-12 UN 3A,0,5.0000,4.9886,-,4.9459,4.9409,4.9008,-
5.000,5,12,UN,3B,5-12 UN 3B,5.000-12 UN 3B,-,-,5.0000,-,4.9525,4.9459,4.9198,4.9100
5.000,5,14,UNS,2A,5-14 UNS 2A,5.000-14 UNS 2A,0.0019,4.9981,4.9878,-,4.9517,4.9453,4.9131,-
5.000,5,14,UNS,2B,5-14 UNS 2B,5.000-14 UNS 2B,-,-,5.0000,-,4.9619,4.9536,4.9380,4.9230
5.000,5,16,UN,2A,5-16 UN 2A,5.000-16 UN 2A,0.0018,4.9982,4.9888,-,4.9576,4.9515,4.9237,-
5.000,5,16,UN,2B,5-16 UN 2B,5.000-16 UN 2B,-,-,5.0000,-,4.9673,4.9594,4.9460,4.9320
5.000,5,16,UN,3A,5-16 UN 3A,5.000-16 UN 3A,0,5.0000,4.9906,-,4.9594,4.9549,4.9255,-
5.000,5,16,UN,3B,5-16 UN 3B,5.000-16 UN 3B,-,-,5.0000,-,4.9653,4.9594,4.9408,4.9320
5.250,5 1/4,10,UNS,2A,5 1/4-10 UNS 2A,5.250-10 UNS 2A,0.0022,5.2478,5.2349,-,5.1829,5.1756,5.1288,-
5.250,5 1/4,10,UNS,2B,5 1/4-10 UNS 2B,5.250-10 UNS 2B,-,-,5.2500,-,5.1944,5.1850,5.1630,5.1420
5.250,5 1/4,12,UN,2A,5 1/4-12 UN 2A,5.250-12 UN 2A,0.002,5.2480,5.2366,-,5.1939,5.1872,5.1488,-
5.250,5 1/4,12,UN,2B,5 1/4-12 UN 2B,5.250-12 UN 2B,-,-,5.2500,-,5.2046,5.1959,5.1780,5.1600
5.250,5 1/4,12,UN,3A,5 1/4-12 UN 3A,5.250-12 UN 3A,0,5.2500,5.2386,-,5.1959,5.1909,5.1508,-
5.250,5 1/4,12,UN,3B,5 1/4-12 UN 3B,5.250-12 UN 3B,-,-,5.2500,-,5.2025,5.1959,5.1698,5.1600
5.250,5 1/4,14,UNS,2A,5 1/4-14 UNS 2A,5.250-14 UNS 2A,0.0019,5.2481,5.2378,-,5.2017,5.1953,5.1631,-
5.250,5 1/4,14,UNS,2B,5 1/4-14 UNS 2B,5.250-14 UNS 2B,-,-,5.2500,-,5.2119,5.2036,5.1880,5.1730
5.250,5 1/4,16,UN,2A,5 1/4-16 UN 2A,5.250-16 UN 2A,0.0018,5.2482,5.2388,-,5.2076,5.2015,5.1737,-
5.250,5 1/4,16,UN,2B,5 1/4-16 UN 2B,5.250-16 UN 2B,-,-,5.2500,-,5.2173,5.2094,5.1960,5.1820
5.250,5 1/4,16,UN,3A,5 1/4-16 UN 3A,5.250-16 UN 3A,0,5.2500,5.2406,-,5.2094,5.2049,5.1755,-
5.250,5 1/4,16,UN,3B,5 1/4-16 UN 3B,5.250-16 UN 3B,-,-,5.2500,-,5.2153,5.2094,5.1908,5.1820
5.500,5 1/2,10,UNS,2A,5 1/2-10 UNS 2A,5.500-10 UNS 2A,0.0022,5.4978,5.4849,-,5.4328,5.4256,5.3788,-
5.500,5 1/2,10,UNS,2B,5 1/2-10 UNS 2B,5.500-10 UNS 2B,-,-,5.5000,-,5.4444,5.4350,5.4130,5.3920
5.500,5 1/2,12,UN,2A,5 1/2-12 UN 2A,5.500-12 UN 2A,0.002,5.4980,5.4866,-,5.4439,5.4372,5.3988,-
5.500,5 1/2,12,UN,2B,5 1/2-12 UN 2B,5.500-12 UN 2B,-,-,5.5000,-,5.4546,5.4459,5.4280,5.4100
5.500,5 1/2,12,UN,3A,5 1/2-12 UN 3A,5.500-12 UN 3A,0,5.5000,5.4886,-,5.4459,5.4409,5.4008,-
5.500,5 1/2,12,UN,3B,5 1/2-12 UN 3B,5.500-12 UN 3B,-,-,5.5000,-,5.4525,5.4459,5.4198,5.4100
5.500,5 1/2,14,UNS,2A,5 1/2-14 UNS 2A,5.500-14 UNS 2A,0.0019,5.4981,5.4878,-,5.4517,5.4453,5.4131,-
5.500,5 1/2,14,UNS,2B,5 1/2-14 UNS 2B,5.500-14 UNS 2B,-,-,5.5000,-,5.4619,5.4536,5.4380,5.4230
5.500,5 1/2,16,UN,2A,5 1/2-16 UN 2A,5.500-16 UN 2A,0.0018,5.4982,5.4888,-,5.4576,5.4515,5.4237,-
5.500,5 1/2,16,UN,2B,5 1/2-16 UN 2B,5.500-16 UN 2B,-,-,5.5000,-,5.4673,5.4594,5.4460,5.4320
5.500,5 1/2,16,UN,3A,5 1/2-16 UN 3A,5.500-16 UN 3A,0,5.5000,5.4906,-,5.4594,5.4549,5.4255,-
5.500,5 1/2,16,UN,3B,5 1/2-16 UN 3B,5.500-16 UN 3B,-,-,5.5000,-,5.4653,5.4594,5.4408,5.4320
5.750,5 3/4,10,UNS,2A,5 3/4-10 UNS 2A,5.750-10 UNS 2A,0.0022,5.7478,5.7349,-,5.6828,5.6754,5.6288,-
5.750,5 3/4,10,UNS,2B,5 3/4-10 UNS 2B,5.750-10 UNS 2B,-,-,5.7500,-,5.6946,5.6850,5.6630,5.6420
5.750,5 3/4,12,UN,2A,5 3/4-12 UN 2A,5.750-12 UN 2A,0.0021,5.7479,5.7365,-,5.6938,5.6869,5.6487,-
5.750,5 3/4,12,UN,2B,5 3/4-12 UN 2B,5.750-12 UN 2B,-,-,5.7500,-,5.7049,5.6959,5.6780,5.6600
5.750,5 3/4,12,UN,3A,5 3/4-12 UN 3A,5.750-12 UN 3A,0,5.7500,5.7386,-,5.6959,5.6907,5.6508,-
5.750,5 3/4,12,UN,3B,5 3/4-12 UN 3B,5.750-12 UN 3B,-,-,5.7500,-,5.7026,5.6959,5.6698,5.6600
5.750,5 3/4,14,UNS,2A,5 3/4-14 UNS 2A,5.750-14 UNS 2A,0.002,5.7480,5.7377,-,5.7016,5.6951,5.6630,-
5.750,5 3/4,14,UNS,2B,5 3/4-14 UNS 2B,5.750-14 UNS 2B,-,-,5.7500,-,5.7121,5.7036,5.6880,5.6730
5.750,5 3/4,16,UN,2A,5 3/4-16 UN 2A,5.750-16 UN 2A,0.0019,5.7481,5.7387,-,5.7075,5.7013,5.6736,-
5.750,5 3/4,16,UN,2B,5 3/4-16 UN 2B,5.750-16 UN 2B,-,-,5.7500,-,5.7175,5.7094,5.6960,5.6820
5.750,5 3/4,16,UN,3A,5 3/4-16 UN 3A,5.750-16 UN 3A,0,5.7500,5.7406,-,5.7094,5.7047,5.6755,-
5.750,5 3/4,16,UN,3B,5 3/4-16 UN 3B,5.750-16 UN 3B,-,-,5.7500,-,5.7155,5.7094,5.6908,5.6820
6.000,6,10,UNS,2A,6-10 UNS 2A,6.000-10 UNS 2A,0.0022,5.9978,5.9849,-,5.9328,5.9254,5.8788,-
6.000,6,10,UNS,2B,6-10 UNS 2B,6.000-10 UNS 2B,-,-,6.0000,-,5.9446,5.9350,5.9130,5.8920
6.000,6,12,UN,2A,6-12 UN 2A,6.000-12 UN 2A,0.0021,5.9979,5.9865,-,5.9438,5.9369,5.8987,-
6.000,6,12,UN,2B,6-12 UN 2B,6.000-12 UN 2B,-,-,6.0000,-,5.9549,5.9459,5.9280,5.9100
6.000,6,12,UN,3A,6-12 UN 3A,6.000-12 UN 3A,0,6.0000,5.9886,-,5.9459,5.9407,5.9008,-
6.000,6,12,UN,3B,6-12 UN 3B,6.000-12 UN 3B,-,-,6.0000,-,5.9526,5.9459,5.9198,5.9100
6.000,6,14,UNS,2A,6-14 UNS 2A,6.000-14 UNS 2A,0.002,5.9980,5.9877,-,5.9516,5.9451,5.9130,-
6.000,6,14,UNS,2B,6-14 UNS 2B,6.000-14 UNS 2B,-,-,6.0000,-,5.9621,5.9536,5.9380,5.9230
6.000,6,16,UN,2A,6-16 UN 2A,6.000-16 UN 2A,0.0019,5.9981,5.9887,-,5.9575,5.9513,5.9236,-
6.000,6,16,UN,2B,6-16 UN 2B,6.000-16 UN 2B,-,-,6.0000,-,5.9675,5.9594,5.9460,5.9320
6.000,6,16,UN,3A,6-16 UN 3A,6.000-16 UN 3A,0,6.0000,5.9906,-,5.9594,5.9547,5.9255,-
6.000,6,16,UN,3B,6-16 UN 3B,6.000-16 UN 3B,-,-,6.0000,-,5.9655,5.9594,5.9408,5.9320
